depth_mm,age_calBP,d18OcarbVPDB
349.270,2386.36,-9.23
349.330,2386.61,-9.16
349.390,2386.86,-9.13
349.450,2387.11,-9.08
349.510,2387.36,-9.14
349.570,2387.61,-9.03
349.630,2387.86,-9.27
349.690,2388.11,-9.27
349.750,2388.36,-9.20
349.810,2388.61,-9.23
349.870,2388.86,-9.18
349.930,2389.11,-9.18
349.990,2389.36,-9.10
350.050,2389.61,-9.04
350.110,2389.86,-9.22
350.170,2390.11,-9.41
350.230,2390.36,-9.44
350.290,2390.61,-9.51
350.350,2390.86,-9.51
350.410,2391.11,-9.48
350.470,2391.36,-9.64
350.530,2391.61,-9.42
350.590,2391.86,-9.42
350.650,2392.11,-9.37
350.710,2392.36,-9.42
350.770,2392.61,-9.31
350.830,2392.86,-9.41
350.890,2393.11,-9.29
350.950,2393.36,-9.45
351.010,2393.61,-9.31
351.070,2393.86,-9.27
351.130,2394.11,-9.32
351.190,2394.36,-9.31
351.250,2394.61,-9.21
351.310,2394.86,-9.24
351.370,2395.11,-9.33
351.430,2395.36,-9.28
351.490,2395.61,-9.37
351.550,2395.86,-9.35
351.610,2396.11,-9.24
351.670,2396.36,-9.22
351.730,2396.61,-9.25
351.790,2396.86,-9.20
351.850,2397.11,-9.28
351.910,2397.36,-9.37
351.970,2397.61,-9.33
352.030,2397.86,-9.26
352.090,2398.11,-9.26
352.150,2398.36,-9.19
352.210,2398.61,-9.22
352.270,2398.86,-9.32
352.330,2399.11,-9.23
352.390,2399.36,-9.22
352.450,2399.61,-9.21
352.510,2399.86,-9.21
352.570,2400.11,-9.32
352.630,2400.36,-9.06
352.690,2400.61,-9.29
352.750,2400.86,-9.26
352.810,2401.11,-9.16
352.870,2401.36,-9.29
352.930,2401.61,-9.31
352.990,2401.86,-9.31
353.050,2402.11,-9.10
353.110,2402.36,-9.13
353.170,2402.61,-9.15
353.230,2402.86,-9.29
353.290,2403.11,-9.31
353.350,2403.36,-9.15
353.410,2403.61,-9.34
353.470,2403.86,-9.29
353.530,2404.11,-9.23
353.590,2404.36,-9.37
353.650,2404.61,-9.39
353.710,2404.86,-9.34
353.770,2405.11,-9.32
353.830,2405.36,-9.40
353.890,2405.61,-9.37
353.950,2405.86,-9.41
354.010,2406.11,-9.40
354.070,2406.36,-9.40
354.130,2406.61,-9.26
354.190,2406.86,-9.36
354.250,2407.11,-9.33
354.310,2407.36,-9.49
354.370,2407.61,-9.52
354.430,2407.86,-9.46
354.490,2408.11,-9.38
354.550,2408.36,-9.51
354.610,2408.61,-9.44
354.670,2408.86,-9.41
354.730,2409.11,-9.35
354.790,2409.36,-9.32
354.850,2409.61,-9.44
354.910,2409.86,-9.37
354.970,2410.11,-9.47
355.030,2410.36,-9.46
355.090,2410.61,-9.43
355.150,2410.86,-9.52
355.210,2411.11,-9.49
355.270,2411.36,-9.47
355.330,2411.61,-9.50
355.390,2411.86,-9.44
355.450,2412.11,-9.41
355.510,2412.36,-9.42
355.570,2412.61,-9.42
355.630,2412.86,-9.45
355.690,2413.11,-9.37
355.750,2413.36,-9.49
355.810,2413.61,-9.43
355.870,2413.86,-9.53
355.930,2414.11,-9.44
355.990,2414.36,-9.47
356.050,2414.61,-9.47
356.110,2414.86,-9.43
356.170,2415.11,-9.51
356.230,2415.36,-9.48
356.290,2415.61,-9.28
356.350,2415.86,-9.42
356.410,2416.11,-9.30
356.470,2416.36,-9.21
356.530,2416.61,-9.28
356.590,2416.86,-9.39
356.650,2417.11,-9.26
356.710,2417.36,-9.40
356.770,2417.61,-9.34
356.830,2417.86,-9.44
356.890,2418.11,-9.32
356.950,2418.36,-9.37
357.010,2418.61,-9.40
357.070,2418.86,-9.30
357.130,2419.11,-9.30
357.190,2419.36,-9.44
