# Brown's Cave, Florida Mid-Holocene Speleothem Stable Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20612 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/speleothem/northamerica/usa/florida/browns2017iso.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Speleothems
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes 
#--------------------
# Contribution_Date
#	Date: 2016-10-14
#--------------------
# Title
#	Study_Name: Brown's Cave, Florida Mid-Holocene Speleothem Stable Isotope Data 
#--------------------
# Investigators
# 	Investigators: Pollock, A.L.; van Beynen, P.E.; DeLong, K.L.; Polyak, V.; Asmerom, Y.
#--------------------
# Description_and_Notes
#	Description: Speleothem stable isotope (d13C and d18O) data from stalagmite BC01-07 collected in Brown's cave, 
#	central Florida, for the mid-Holocene (6.6 - 4.6 KYrBP).  The calcite speleothem was sampled at 100 um resolution 
#	down its c-axis for carbon and oxygen isotope analysis. 
#--------------------
# Publication 
#	Authors: Pollock, A.L., P.E. van Beynen, K.L. DeLong, V. Polyak and Y. Asmerom
#	Published_Date_or_Year: 2017
#	Published_Title: A Speleothem-based mid-Holocene precipitation reconstruction for West-Central Florida
#	Journal_Name: The Holocene
#	Volume: in press
#	Edition: 
#	Issue: 
#	Pages: 
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: The mid-Holocene is a period of warmer temperatures relative to those for most of this current interglacial. It possessed a weak latitudinal temperature gradient which is similar to what is expected in the coming decades. A changing gradient will impact climate teleconnections that have a significant effect on precipitation variability. Our window into the mid-Holocene climate is a high resolution (near-annual) stalagmite stable isotope-based paleoprecipitation record from Brown's Cave in West-Central Florida. An oxygen isotope (d18O) time-series tied to a uranium-series (U-series) chronology covers a 2,000-year period from 6.6 to 4.6 ka. To test the hypothesis of future drier climate, we compared our reconstruction to another speleothem derived precipitation record from our study area that spans the last 1,600 years. The comparison showed that the mid-Holocene was drier than the last 1.5 millennia. We posit the cause of this aridity was a westward expansion of the North Atlantic Subtropical High (NASH) coupled with changes in the planetary boundary layer in the Gulf of Mexico. Time series analysis of our oxygen isotopic record found little evidence of any teleconnections originating from the North Atlantic. We found no periodicity matching the North Atlantic Oscillation during the mid-Holocene. However, there is some indication of a weak, quasi-persistent oscillation within the temporal periodicity of the Atlantic Multidecadal Variability. 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-0823476 
#------------------
# Site_Information 
#	Site_Name: Brown's Cave
#	Location: North America>United States Of America>Florida
#	Country: United States Of America
#	Northernmost_Latitude: 22.8894
#	Southernmost_Latitude: 22.8894
#	Easternmost_Longitude: -82.5186
#	Westernmost_Longitude: -82.5186
#	Elevation:  m  
#------------------
# Data_Collection   
#	Collection_Name: Browns2017iso
#	Earliest_Year: 6603
#	Most_Recent_Year: 4626
#	Time_Unit: Cal. Year BP
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: U/Th chronology using MC-IPC-MS
# 
# Depth (mm from top)	238U (pg/g)	232Th (pg/g)	230Th/232Th	d234Ui	230Th/238U	Uncorrected age 	Corrected age 
# 18	386.8±0.9	886.7±26.3	59.9±1.8	12.3±0.8	0.0449±0.0004	4956±45	4824±80
# 33	418.7±1.0	412.0±30.9	138.5±10.4	12.2±0.8	0.0446±0.0003	4920±38	4864±47
# 55	361.6±0.9	227.8±43.2	231.3±44.0	9.6±1.2	0.0477±0.0005	5284±61	5248±64
# 73	586.6±1.5	166.5±41.4	524.1±130.5	8.4±0.9	0.0487±0.0004	5404±45	5388±46
# 94	565.6±1.4	461.5±42.6	189.0±17.5	8.8±0.9	0.0505±0.0004	5602±46	5555±51
# 103	688.1±1.7	510.2±33.4	211.33±13.9	8.8±0.8	0.0513±0.0003	4696±36	5654±42
# 115	699.7±1.7	2410.7±32.5	48.9±0.7	9.2±0.7	0.0551±0.0004	6133±42	5934±108
# 133	1026.1±2.5	5969.4±30.5	30.9±0.2	9.8±0.6	0.0587±0.0003	6543±31	6207±170
# 147	926.7±2.2	1259.7±43.7	131.6±4.7	0.4±0.7	0.0585±0.0005	6583±52	6504±65
#  	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## depth_mm	depth, , , mm, , , Distance from top of speleothem, ,N
## age_calBP	age, , , calendar years before present, , , , ,N
## d18OcarbVPDB	delta18O, calcium carbonate, , per mil VPDB, , speleothem, , ,N 
## d13CcarbVPDB	delta13C, calcium carbonate, , per mil VPDB, , speleothem, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_mm	age_calBP	d18OcarbVPDB	d13CcarbVPDB
1	4626.8	-3.61	-9.75
1.1	4627.6	-3.32	-9.53
1.2	4628.4	-3.70	-9.71
1.3	4629.1	-3.73	-9.56
1.4	4629.9	-3.56	-9.27
1.5	4630.7	-3.20	-8.90
1.6	4631.4	-3.52	-8.86
1.7	4632.2	-3.08	-8.79
1.8	4633.0	-3.41	-8.87
1.9	4633.7	-3.21	-8.56
2	4634.5	-3.22	-8.50
2.1	4635.3	-3.22	-8.38
2.2	4636.1	-3.28	-8.53
2.3	4636.9	-3.25	-8.53
2.4	4637.6	-3.33	-8.63
2.5	4638.4	-3.25	-8.51
2.6	4639.2	-3.31	-8.70
2.7	4640.0	-3.37	-8.94
2.8	4640.8	-3.41	-9.11
2.9	4641.6	-3.38	-8.95
3	4642.4	-3.44	-8.80
3.1	4643.2	-3.38	-8.65
3.2	4644.0	-3.40	-8.73
3.3	4644.7	-3.25	-8.53
3.4	4645.5	-3.08	-8.44
3.5	4646.3	-3.31	-8.63
3.6	4647.1	-3.42	-8.59
3.7	4648.0	-3.22	-8.44
3.8	4648.8	-3.29	-8.75
3.9	4649.6	-3.57	-8.62
4	4650.4	-3.14	-8.66
4.1	4651.2	-3.48	-8.55
4.2	4652.0	-3.62	-8.33
4.3	4652.8	-3.51	-8.38
4.4	4653.6	-3.57	-8.52
4.5	4654.4	-3.65	-8.69
4.6	4655.2	-3.23	-8.50
4.7	4656.1	-2.94	-8.43
4.8	4656.9	-2.97	-8.39
4.9	4657.7	-3.02	-8.29
5	4658.5	-3.14	-8.53
5.1	4659.4	-3.05	-8.37
5.2	4660.2	-3.32	-8.55
5.3	4661.0	-3.22	-8.66
5.4	4661.8	-3.11	-8.70
5.5	4662.7	-3.37	-8.91
5.6	4663.5	-3.28	-9.09
5.7	4664.3	-3.21	-9.12
5.8	4665.2	-3.09	-9.53
5.9	4666.0	-3.20	-9.18
6	4666.8	-3.24	-8.95
6.1	4667.7	-3.28	-8.94
6.2	4668.5	-3.47	-9.18
6.3	4669.4	-3.57	-8.93
6.4	4670.2	-3.59	-9.02
6.5	4671.0	-3.64	-9.37
6.6	4671.9	-3.41	-9.22
6.7	4672.7	-3.27	-9.20
6.8	4673.6	-3.08	-9.08
6.9	4674.4	-3.05	-8.65
7	4675.3	-2.97	-8.93
7.1	4676.1	-3.02	-8.82
7.2	4677.0	-3.26	-8.76
7.3	4677.9	-3.11	-8.92
7.4	4678.7	-2.86	-9.00
7.5	4679.6	-3.17	-9.02
7.6	4680.4	-3.04	-9.09
7.7	4681.3	-3.58	-9.63
7.8	4682.2	-3.68	-9.72
7.9	4683.0	-3.44	-9.69
8	4683.9	-3.48	-9.98
8.1	4684.7	-3.49	-9.97
8.2	4685.6	-3.36	-9.94
8.3	4686.5	-3.47	-9.90
8.4	4687.4	-3.20	-9.96
8.5	4688.2	-3.49	-9.62
8.6	4689.1	-3.60	-9.93
8.7	4690.0	-3.82	-10.24
8.8	4690.8	-3.78	-10.27
8.9	4691.7	-3.66	-9.99
9	4692.6	-3.31	-9.91
9.1	4693.5	-3.22	-9.91
9.2	4694.4	-3.30	-10.03
9.3	4695.2	-3.36	-10.05
9.4	4696.1	-3.03	-9.90
9.5	4697.0	-3.39	-9.81
9.6	4697.9	-3.71	-9.64
9.7	4698.8	-3.53	-9.31
9.8	4699.7	-3.74	-9.49
9.9	4700.6	-3.61	-9.44
10	4701.4	-3.78	-9.26
10.1	4702.3	-3.44	-9.31
10.2	4703.2	-3.42	-9.33
10.3	4704.1	-3.42	-9.09
10.4	4705.0	-3.26	-8.83
10.5	4705.9	-3.31	-8.95
10.6	4706.8	-3.30	-9.25
10.7	4707.7	-3.26	-8.99
10.8	4708.6	-3.21	-8.89
10.9	4709.5	-3.15	-8.65
11	4710.4	-3.29	-8.61
11.1	4711.3	-3.22	-8.84
11.2	4712.2	-3.43	-8.84
11.3	4713.1	-3.64	-8.83
11.4	4714.0	-3.34	-8.79
11.5	4714.9	-3.04	-8.89
11.6	4715.8	-3.01	-8.86
11.7	4716.7	-3.10	-8.75
11.8	4717.7	-3.29	-8.66
11.9	4718.6	-3.20	-8.75
12	4719.5	-3.59	-8.05
12.1	4720.4	-3.75	-8.91
12.2	4721.3	-3.43	-9.09
12.3	4722.2	-3.69	-9.29
12.4	4723.1	-3.53	-9.35
12.5	4724.1	-3.44	-9.48
12.6	4725.0	-3.41	-9.07
12.7	4725.9	-3.42	-9.03
12.8	4726.8	-3.31	-9.00
12.9	4727.7	-3.55	-9.13
13	4728.7	-3.57	-9.32
13.1	4729.6	-3.72	-9.49
13.2	4730.5	-3.76	-9.45
13.3	4731.4	-3.69	-9.53
13.4	4732.4	-3.48	-9.15
13.5	4733.3	-3.46	-9.24
13.6	4734.2	-3.50	-9.09
13.7	4735.2	-3.70	-9.27
13.8	4736.1	-3.80	-9.14
13.9	4737.0	-3.70	-9.01
14	4738.0	-3.49	-8.95
14.1	4738.9	-3.49	-9.16
14.2	4739.8	-3.62	-9.25
14.3	4740.8	-3.53	-9.31
14.4	4741.7	-3.57	-9.03
14.5	4742.6	-3.47	-8.94
14.6	4743.6	-3.51	-8.46
14.7	4744.5	-3.38	-8.98
14.8	4745.5	-3.46	-9.35
14.9	4746.4	-3.24	-9.21
15	4747.3	-3.23	-9.10
