depth,date,d13C,d18O
0.1,2003.9,-7.16,-2.95
0.2,2001.9,-7.12,-3.04
0.3,1999.3,-7.14,-3.17
0.4,1996.8,-7.08,-3.17
0.5,1994.3,-7.04,-3.1
0.6,1992.2,-7.03,-3.1
0.7,1990.3,-6.9,-3.09
0.8,1988.3,-6.88,-3.14
0.9,1986.5,-6.89,-3.11
1,1984.8,-7.36,-3.12
1.1,1983.3,-7.37,-3.27
1.2,1982.1,-7.67,-3.25
1.3,1981,-7.86,-3.44
1.4,1979.9,-8.11,-3.2
1.5,1978.8,-8.11,-3.2
1.6,1977.8,-8.29,-3.15
1.7,1976.8,-8.35,-3.09
1.8,1975.7,-8.35,-3.28
1.9,1974.8,-8.48,-3.37
2,1973.8,-8.44,-3.28
2.1,1972.7,-8.42,-3.43
2.2,1971.7,-8.5,-3.33
2.3,1970.9,-8.52,-3.3
2.4,1969.8,-8.58,-3.5
2.5,1968.8,-8.53,-3.4
2.6,1967.7,-8.56,-3.32
2.7,1966.6,-8.61,-3.47
2.8,1965.5,-8.66,-3.39
2.9,1964.8,-8.55,-3.31
3,1963.9,-8.57,-3.42
3.1,1963.2,-8.58,-3.42
3.2,1962.6,-8.72,-3.45
3.3,1961.7,-8.82,-3.38
3.4,1961.1,-9,-3.5
3.5,1960.7,-9.12,-3.44
3.6,1960.2,-9.26,-3.41
3.7,1959.7,-8.98,-3.26
3.8,1958.7,-8.99,-3.25
3.9,1958,-8.72,-3.15
4,1957.7,-8.72,-3.33
4.1,1957,-8.61,-3.19
4.2,1956.7,-8.55,-3.38
4.3,1956.3,-8.54,-3.31
4.4,1955.9,-8.55,-3.44
4.5,1955.6,-8.5,-3.53
4.6,1955.2,-8.64,-3.46
4.7,1954.9,-8.48,-3.48
4.8,1954.4,-8.36,-3.41
4.9,1954.2,-8.31,-3.28
5,1953.9,-8.55,-3.28
5.1,1953.7,-8.43,-3.24
5.2,1953.5,-8.44,-3.28
5.3,1953.3,-8.48,-3.25
5.4,1953.1,,
5.5,1952.9,-8.58,-3.35
5.6,1952.7,-8.57,-3.39
5.7,1952.6,-8.48,-3.29
5.8,1952.4,-8.35,-3.19
5.9,1952.3,-8.27,-3.35
6,1952.2,-8.33,-3.34
6.1,1952,-8.17,-3.13
6.2,1951.9,-8.06,-3.15
6.3,1951.8,-7.87,-3.36
