Sample Number,Distance (mm from top),238U (ppb),error,232U (ppt),error,230Th/232Th activity,error,230Th/238U activity,error,?234U measured,error,?234U initial,error,"230Th Age (yrs, uncorrected)",error,"230Th Age (yrs, corrected)",error,YR AD,error
YOKI-1-1,1.1,6762,17,3193,46,6,0,0.00092,0.00005,648.7,1,649,1,61,3,23,19,1987,19
YOKI-4-9,4.9,6241,15,418,90,42,9,0.00092,0.00004,647.9,2,648,2,61,3,56,4,1954,4
YOKI-9-7,9.7,6523,16,99,30,190,58,0.00095,0.00002,641.3,1,641,1,63,1,62,1,1948,1
YOKI-22-5,22.5,6289,16,178,76,219,94,0.00203,0.00004,618.2,1,618,1,137,3,135,3,1875,3
YOKI-51-9,51.9,5513,13,306,69,193,44,0.00351,0.00004,577.2,1,578,1,243,3,238,4,1772,4
YOKI-61-2,61.2,5269,13,140,105,543,408,0.00471,0.00008,546.9,2,547,2,333,5,331,6,1679,6
YOKI-67-4,67.4,6003,14,100,42,890,372,0.00486,0.00004,551.1,1,552,1,342,3,341,3,1669,3
YOKI-76,76,5452,12,267,33,360,45,0.00577,0.00003,582.6,1,583,1,399,2,394,3,1616,3
YOKI-94-4,94.4,5308,12,81,31,1305,490,0.00654,0.00003,540.8,1,541,1,465,2,463,2,1547,2
YOKI-109-9,109.9,5667,13,349,40,381,44,0.00767,0.00004,546.0,0,547,0,543,3,537,4,1473,4
YOKI-120-3,120.3,7087,17,92,58,1980,1253,0.00841,0.00004,561.2,1,562,1,590,3,589,3,1421,3
YOKI-128,128,6852,16,453,42,409,38,0.00886,0.00005,560.7,1,562,1,621,3,616,4,1394,4
YOKI-145-5,145.5,11075,26,391,72,893,164,0.01032,0.00008,563.1,1,564,1,723,6,720,6,1290,6
YOKI-157-9,157.9,6014,16,204,73,1073,383,0.01191,0.00010,556.3,1,558,1,838,7,835,7,1175,7
YOKI-178-46,178.46,4519,12,254,51,732,147,0.01343,0.00009,553.9,2,555,2,947,6,943,7,1067,7
YOKI-186-93,186.93,7578,18,41,55,7894,10670,0.01398,0.00007,527.3,1,529,1,1003,5,1003,5,1007,5
YOKI-200-61,200.61,6368,16,17,64,17609,68604,0.01497,0.00013,535.4,2,537,2,1070,10,1069,10,941,10
YOK-I-204-4,204.4,6114,15,114,92,2456,1985,0.01501,0.00012,514.7,2,516,2,1087,9,1085,9,925,9
YOKI-208-04,208.04,5583,14,602,72,436,53,0.01538,0.00012,523.6,2,525,2,1107,9,1098,10,912,10
YOKI-211-41,211.41,5924,15,114,72,2540,1592,0.01605,0.00021,499.9,2,502,2,1174,15,1173,15,837,15
YOKI-216-41,216.57,5783,15,120,57,2470,1171,0.01674,0.00010,532.5,1,534,1,1199,7,1197,8,813,8
YOKI-222-48,222.48,6447,16,76,87,4329,4937,0.01672,0.00013,516.5,2,518,2,1210,10,1209,10,801,10
YOKI-229-67,229.67,5642,13,77,73,3919,3709,0.01742,0.00018,561.8,1,564,1,1224,13,1223,13,787,13
YOKI-242-52,242.52,6952,19,78,69,5060,4517,0.01849,0.00010,566.0,2,568,2,1296,7,1295,7,715,7
YOKI-247-67,247.67,6402,18,47,59,7921,9932,0.01894,0.00010,588.2,1,590,1,1309,7,1309,7,701,7
YOKI-253-68,253.68,7042,17,148,84,2815,1602,0.01937,0.00011,586.4,1,589,1,1341,7,1339,8,671,8
YOKI-276-4,276.4,5617,14,239,59,1555,383,0.02165,0.00013,657.6,3,660,3,1434,9,1431,9,579,9
YOKI-294-6,294.6,5392,13,426,92,901,194,0.02330,0.00014,686.4,1,689,1,1567,9,1560,10,450,10
YOKI-300,300,5037,12,87,83,4101,3930,0.02314,0.00025,627.2,1,630,1,1563,17,1561,17,449,17
YOKI-313-9,313.9,5716,14,419,67,986,158,0.02364,0.00013,635.1,1,638,1,1589,9,1583,9,427,9
YOKI-324-4,324.4,6893,17,93,40,5708,2452,0.02521,0.00011,686.3,1,690,1,1643,7,1642,7,368,7
YOKI-333-4,333.4,6788,17,220,119,2395,1291,0.02542,0.00022,663.2,4,666,4,1680,15,1677,15,333,15
YOKI-340-4,340.4,6674,16,717,107,763,114,0.02679,0.00019,696.5,2,700,2,1737,13,1728,13,282,13
YOKI-360-6,360.6,6970,17,130,57,4566,2010,0.02780,0.00020,658.3,1,662,1,1844,14,1842,14,168,14
YOKI-368-6,368.6,6651,16,101,88,5524,4794,0.02751,0.00015,635.4,2,639,2,1850,11,1849,11,161,11
YOKI-378-9,378.9,5681,14,288,84,1742,508,0.02893,0.00019,654.8,1,658,1,1924,13,1920,13,90,13
YOKI-383-8,383.8,5729,14,128,56,4040,1763,0.02950,0.00017,682.4,1,686,1,1929,11,1928,11,82,11
YOKI-403-3,403.3,6461,16,229,39,2421,408,0.02809,0.00014,539.4,1,543,1,2009,10,2006,10,4,10
YOKI-414-9,414.9,4150,10,201,55,1956,537,0.03096,0.00015,670.8,2,675,2,2040,10,2036,11,-26,11
YOKI-444-3,444.3,3708,9,761,108,450,64,0.03022,0.00019,492.9,1,496,1,2231,14,2212,17,-202,17
