 Year,  Tanom
   200 ,-0.261
   201 ,-0.292
   202 ,-0.312
   203 ,-0.317
   204 ,-0.304
   205 ,-0.279
   206 ,-0.249
   207 ,-0.225
   208 ,-0.213
   209 ,-0.214
   210 ,-0.228
   211 ,-0.245
   212 ,-0.258
   213 ,-0.260
   214 ,-0.248
   215 ,-0.225
   216 ,-0.197
   217 ,-0.173
   218 ,-0.161
   219 ,-0.165
   220 ,-0.184
   221 ,-0.210
   222 ,-0.236
   223 ,-0.252
   224 ,-0.252
   225 ,-0.235
   226 ,-0.206
   227 ,-0.173
   228 ,-0.147
   229 ,-0.133
   230 ,-0.137
   231 ,-0.156
   232 ,-0.186
   233 ,-0.219
   234 ,-0.248
   235 ,-0.269
   236 ,-0.281
   237 ,-0.284
   238 ,-0.284
   239 ,-0.281
   240 ,-0.277
   241 ,-0.269
   242 ,-0.254
   243 ,-0.230
   244 ,-0.197
   245 ,-0.156
   246 ,-0.114
   247 ,-0.081
   248 ,-0.063
   249 ,-0.064
   250 ,-0.085
   251 ,-0.120
   252 ,-0.160
   253 ,-0.195
   254 ,-0.216
   255 ,-0.222
   256 ,-0.212
   257 ,-0.194
   258 ,-0.175
   259 ,-0.163
   260 ,-0.163
   261 ,-0.175
   262 ,-0.196
   263 ,-0.218
   264 ,-0.234
   265 ,-0.240
   266 ,-0.233
   267 ,-0.217
   268 ,-0.196
   269 ,-0.178
   270 ,-0.169
   271 ,-0.172
   272 ,-0.187
   273 ,-0.212
   274 ,-0.240
   275 ,-0.266
   276 ,-0.286
   277 ,-0.296
   278 ,-0.297
   279 ,-0.289
   280 ,-0.274
   281 ,-0.256
   282 ,-0.237
   283 ,-0.220
   284 ,-0.206
   285 ,-0.197
   286 ,-0.195
   287 ,-0.201
   288 ,-0.213
   289 ,-0.231
   290 ,-0.251
   291 ,-0.268
   292 ,-0.279
   293 ,-0.280
   294 ,-0.270
   295 ,-0.250
   296 ,-0.224
   297 ,-0.196
   298 ,-0.172
   299 ,-0.156
   300 ,-0.152
   301 ,-0.161
   302 ,-0.182
   303 ,-0.214
   304 ,-0.253
   305 ,-0.293
   306 ,-0.331
   307 ,-0.361
   308 ,-0.378
   309 ,-0.379
   310 ,-0.362
   311 ,-0.328
   312 ,-0.280
   313 ,-0.224
   314 ,-0.168
   315 ,-0.119
   316 ,-0.085
   317 ,-0.068
   318 ,-0.071
   319 ,-0.091
   320 ,-0.124
   321 ,-0.161
   322 ,-0.195
   323 ,-0.222
   324 ,-0.236
   325 ,-0.236
   326 ,-0.226
   327 ,-0.208
   328 ,-0.188
   329 ,-0.171
   330 ,-0.162
   331 ,-0.162
   332 ,-0.171
   333 ,-0.188
   334 ,-0.208
   335 ,-0.228
   336 ,-0.241
   337 ,-0.246
   338 ,-0.242
   339 ,-0.231
   340 ,-0.220
   341 ,-0.212
   342 ,-0.215
   343 ,-0.230
   344 ,-0.256
   345 ,-0.290
   346 ,-0.322
   347 ,-0.344
   348 ,-0.347
   349 ,-0.327
   350 ,-0.284
   351 ,-0.227
   352 ,-0.164
   353 ,-0.110
   354 ,-0.075
   355 ,-0.066
   356 ,-0.084
   357 ,-0.124
   358 ,-0.175
   359 ,-0.227
   360 ,-0.267
   361 ,-0.291
   362 ,-0.296
   363 ,-0.287
   364 ,-0.270
   365 ,-0.254
   366 ,-0.246
   367 ,-0.247
   368 ,-0.259
   369 ,-0.275
   370 ,-0.291
   371 ,-0.302
   372 ,-0.304
   373 ,-0.297
   374 ,-0.284
   375 ,-0.270
   376 ,-0.258
   377 ,-0.250
   378 ,-0.246
   379 ,-0.245
   380 ,-0.243
   381 ,-0.238
   382 ,-0.227
   383 ,-0.212
   384 ,-0.195
   385 ,-0.178
   386 ,-0.165
   387 ,-0.156
   388 ,-0.150
   389 ,-0.145
   390 ,-0.138
   391 ,-0.128
   392 ,-0.116
   393 ,-0.105
   394 ,-0.100
   395 ,-0.106
   396 ,-0.125
   397 ,-0.158
   398 ,-0.202
   399 ,-0.252
   400 ,-0.301
   401 ,-0.342
   402 ,-0.371
   403 ,-0.385
   404 ,-0.385
   405 ,-0.372
   406 ,-0.350
   407 ,-0.323
   408 ,-0.295
   409 ,-0.268
   410 ,-0.245
   411 ,-0.228
   412 ,-0.221
   413 ,-0.222
   414 ,-0.231
   415 ,-0.246
   416 ,-0.262
   417 ,-0.276
   418 ,-0.283
   419 ,-0.282
   420 ,-0.274
   421 ,-0.261
   422 ,-0.246
   423 ,-0.232
   424 ,-0.221
   425 ,-0.213
   426 ,-0.206
   427 ,-0.197
   428 ,-0.185
   429 ,-0.170
   430 ,-0.154
   431 ,-0.142
   432 ,-0.137
   433 ,-0.143
   434 ,-0.159
   435 ,-0.183
   436 ,-0.209
   437 ,-0.231
   438 ,-0.242
   439 ,-0.242
   440 ,-0.231
   441 ,-0.216
   442 ,-0.204
   443 ,-0.200
   444 ,-0.208
   445 ,-0.229
   446 ,-0.258
   447 ,-0.289
   448 ,-0.315
   449 ,-0.332
   450 ,-0.336
   451 ,-0.329
   452 ,-0.313
   453 ,-0.292
   454 ,-0.268
   455 ,-0.244
   456 ,-0.221
   457 ,-0.198
   458 ,-0.178
   459 ,-0.162
   460 ,-0.155
   461 ,-0.159
   462 ,-0.177
   463 ,-0.207
   464 ,-0.247
   465 ,-0.288
   466 ,-0.323
   467 ,-0.344
   468 ,-0.347
   469 ,-0.329
   470 ,-0.297
   471 ,-0.258
   472 ,-0.222
   473 ,-0.197
   474 ,-0.189
   475 ,-0.198
   476 ,-0.218
   477 ,-0.242
   478 ,-0.261
   479 ,-0.269
   480 ,-0.263
   481 ,-0.245
   482 ,-0.222
   483 ,-0.201
   484 ,-0.189
   485 ,-0.191
   486 ,-0.208
   487 ,-0.236
   488 ,-0.269
   489 ,-0.298
   490 ,-0.317
   491 ,-0.321
   492 ,-0.309
   493 ,-0.283
   494 ,-0.248
   495 ,-0.210
   496 ,-0.176
   497 ,-0.149
   498 ,-0.134
   499 ,-0.131
   500 ,-0.138
   501 ,-0.153
   502 ,-0.168
   503 ,-0.181
   504 ,-0.186
   505 ,-0.183
   506 ,-0.171
   507 ,-0.155
   508 ,-0.139
   509 ,-0.129
   510 ,-0.129
   511 ,-0.137
   512 ,-0.153
   513 ,-0.172
   514 ,-0.187
   515 ,-0.193
   516 ,-0.188
   517 ,-0.174
   518 ,-0.153
   519 ,-0.133
   520 ,-0.121
   521 ,-0.121
   522 ,-0.135
   523 ,-0.161
   524 ,-0.194
   525 ,-0.226
   526 ,-0.251
   527 ,-0.262
   528 ,-0.258
   529 ,-0.239
   530 ,-0.209
   531 ,-0.175
   532 ,-0.146
   533 ,-0.126
   534 ,-0.122
   535 ,-0.134
   536 ,-0.160
   537 ,-0.194
   538 ,-0.228
   539 ,-0.254
   540 ,-0.266
   541 ,-0.260
   542 ,-0.238
   543 ,-0.205
   544 ,-0.172
   545 ,-0.149
   546 ,-0.143
   547 ,-0.159
   548 ,-0.194
   549 ,-0.240
   550 ,-0.286
   551 ,-0.320
   552 ,-0.334
   553 ,-0.322
   554 ,-0.290
   555 ,-0.246
   556 ,-0.200
   557 ,-0.166
   558 ,-0.150
   559 ,-0.154
   560 ,-0.174
   561 ,-0.203
   562 ,-0.233
   563 ,-0.257
   564 ,-0.272
   565 ,-0.279
   566 ,-0.280
   567 ,-0.280
   568 ,-0.281
   569 ,-0.283
   570 ,-0.283
   571 ,-0.279
   572 ,-0.267
   573 ,-0.249
   574 ,-0.225
   575 ,-0.201
   576 ,-0.182
   577 ,-0.168
   578 ,-0.162
   579 ,-0.159
   580 ,-0.157
   581 ,-0.151
   582 ,-0.141
   583 ,-0.127
   584 ,-0.114
   585 ,-0.107
   586 ,-0.110
   587 ,-0.126
   588 ,-0.151
   589 ,-0.181
   590 ,-0.207
   591 ,-0.223
   592 ,-0.225
   593 ,-0.213
   594 ,-0.190
   595 ,-0.163
   596 ,-0.139
   597 ,-0.125
   598 ,-0.122
   599 ,-0.131
   600 ,-0.151
   601 ,-0.176
   602 ,-0.203
   603 ,-0.230
   604 ,-0.253
   605 ,-0.270
   606 ,-0.281
   607 ,-0.282
   608 ,-0.273
   609 ,-0.251
   610 ,-0.218
   611 ,-0.177
   612 ,-0.134
   613 ,-0.096
   614 ,-0.069
   615 ,-0.060
   616 ,-0.069
   617 ,-0.094
   618 ,-0.129
   619 ,-0.167
   620 ,-0.202
   621 ,-0.228
   622 ,-0.243
   623 ,-0.249
   624 ,-0.247
   625 ,-0.242
   626 ,-0.236
   627 ,-0.229
   628 ,-0.221
   629 ,-0.212
   630 ,-0.201
   631 ,-0.191
   632 ,-0.185
   633 ,-0.185
   634 ,-0.196
   635 ,-0.216
   636 ,-0.244
   637 ,-0.275
   638 ,-0.302
   639 ,-0.319
   640 ,-0.323
   641 ,-0.314
   642 ,-0.294
   643 ,-0.270
   644 ,-0.248
   645 ,-0.232
   646 ,-0.225
   647 ,-0.225
   648 ,-0.229
   649 ,-0.231
   650 ,-0.229
   651 ,-0.219
   652 ,-0.203
   653 ,-0.183
   654 ,-0.165
   655 ,-0.153
   656 ,-0.152
   657 ,-0.165
   658 ,-0.191
   659 ,-0.227
   660 ,-0.265
   661 ,-0.298
   662 ,-0.317
   663 ,-0.315
   664 ,-0.287
   665 ,-0.237
   666 ,-0.168
   667 ,-0.091
   668 ,-0.019
   669  ,0.040
   670  ,0.076
   671  ,0.088
   672  ,0.079
   673  ,0.055
   674  ,0.024
   675 ,-0.006
   676 ,-0.030
   677 ,-0.049
   678 ,-0.066
   679 ,-0.084
   680 ,-0.106
