YBC,Density
-4244.5,0
-4239.5,0
-4234.5,0
-4229.5,0
-4224.5,0.00008946
-4219.5,0.0012626
-4214.5,0.0021598
-4209.5,0.0011553
-4204.5,0.00016614
-4199.5,0.000030672
-4194.5,0.000002556
-4189.5,0
-4184.5,0
-4179.5,0
-4174.5,0.000002556
-4169.5,0.000020448
-4164.5,0.00013035
-4159.5,0.000501
-4154.5,0.001186
-4149.5,0.00194
-4144.5,0.002308
-4139.5,0.003417
-4134.5,0.002193
-4129.5,0.00027349
-4124.5,0.000002556
-4119.5,0.000015336
-4114.5,0.000030672
-4109.5,0.00014058
-4104.5,0.0000639
-4099.5,0.00007923
-4094.5,0.000010224
-4089.5,0.000015336
-4084.5,0.000002556
-4079.5,0.00003323
-4074.5,0.00007412
-4069.5,0.0003757
-4064.5,0.0013291
-4059.5,0.0016639
-4054.5,0.0021675
-4049.5,0.005741
-4044.5,0.02214
-4039.5,0.04753
-4034.5,0.04064
-4029.5,0.04758
-4024.5,0.04399
-4019.5,0.04325
-4014.5,0.04534
-4009.5,0.04632
-4004.5,0.04612
-3999.5,0.04622
-3994.5,0.04222
-3989.5,0.04658
-3984.5,0.05921
-3979.5,0.07168
-3974.5,0.07158
-3969.5,0.04895
-3964.5,0.0436
-3959.5,0.07054
-3954.5,0.07646
-3949.5,0.09486
-3944.5,0.13495
-3939.5,0.1795
-3934.5,0.19185
-3929.5,0.18671
-3924.5,0.18034
-3919.5,0.18001
-3914.5,0.18203
-3909.5,0.17565
-3904.5,0.15595
-3899.5,0.14996
-3894.5,0.15595
-3889.5,0.1245
-3884.5,0.11483
-3879.5,0.14693
-3874.5,0.19438
-3869.5,0.19998
-3864.5,0.20517
-3859.5,0.20231
-3854.5,0.18157
-3849.5,0.15295
-3844.5,0.16994
-3839.5,0.18486
-3834.5,0.17646
-3829.5,0.16994
-3824.5,0.16622
-3819.5,0.17403
-3814.5,0.19066
-3809.5,0.19748
-3804.5,0.1943
-3799.5,0.16181
-3794.5,0.10903
-3789.5,0.10384
-3784.5,0.13814
-3779.5,0.18794
-3774.5,0.24507
-3769.5,0.3678
-3764.5,0.419
-3759.5,0.4585
-3754.5,0.4786
-3749.5,0.4896
-3744.5,0.452
-3739.5,0.4719
-3734.5,0.4677
-3729.5,0.4585
-3724.5,0.4749
-3719.5,0.419
-3714.5,0.4478
-3709.5,0.4417
-3704.5,0.26125
-3699.5,0.25777
-3694.5,0.27381
-3689.5,0.23582
-3684.5,0.24065
-3679.5,0.27009
-3674.5,0.27679
-3669.5,0.27031
-3664.5,0.27473
-3659.5,0.22971
-3654.5,0.13844
-3649.5,0.17865
-3644.5,0.25352
-3639.5,0.14319
-3634.5,0.23158
-3629.5,0.5255
-3624.5,0.4494
-3619.5,0.5244
-3614.5,0.609
-3609.5,0.5346
-3604.5,0.4863
-3599.5,0.4478
-3594.5,0.4492
-3589.5,0.4607
-3584.5,0.4873
-3579.5,0.5094
-3574.5,0.5285
-3569.5,0.5187
-3564.5,0.531
-3559.5,0.5179
-3554.5,0.4924
-3549.5,0.4044
-3544.5,0.3458
-3539.5,0.4214
-3534.5,0.5307
-3529.5,0.4945
-3524.5,0.4459
-3519.5,0.5432
-3514.5,0.8826
-3509.5,0.8817
-3504.5,0.8689
-3499.5,0.8523
-3494.5,0.8014
-3489.5,0.8485
-3484.5,0.9171
-3479.5,0.9245
-3474.5,0.9287
-3469.5,0.8799
-3464.5,0.7943
-3459.5,0.8011
-3454.5,0.8046
-3449.5,0.8063
-3444.5,0.8083
-3439.5,0.8055
-3434.5,0.8094
-3429.5,0.832
-3424.5,0.8817
-3419.5,0.9106
-3414.5,0.881
-3409.5,0.8782
-3404.5,0.8826
-3399.5,0.8838
-3394.5,0.8567
-3389.5,0.7498
-3384.5,0.8397
-3379.5,0.8668
-3374.5,0.8033
-3369.5,0.9349
-3364.5,0.7905
-3359.5,1.0266
-3354.5,0.9865
-3349.5,0.9138
-3344.5,1.1924
-3339.5,1.5557
-3334.5,2.0775
-3329.5,2.4485
-3324.5,2.5032
-3319.5,2.4498
-3314.5,2.4151
-3309.5,2.3402
-3304.5,2.1882
-3299.5,2.2521
-3294.5,2.2953
-3289.5,2.4731
-3284.5,2.3567
-3279.5,2.2205
-3274.5,2.2627
-3269.5,2.4772
-3264.5,2.5474
-3259.5,1.653
-3254.5,1.653
-3249.5,1.7184
-3244.5,1.8649
-3239.5,2.1944
-3234.5,2.4558
-3229.5,2.5273
-3224.5,2.556
-3219.5,2.5252
-3214.5,2.5232
-3209.5,2.2004
-3204.5,1.8428
-3199.5,1.6046
-3194.5,1.7874
-3189.5,2.1955
-3184.5,2.4136
-3179.5,2.4622
-3174.5,2.5109
-3169.5,2.4408
-3164.5,2.3725
-3159.5,2.4719
-3154.5,2.3927
-3149.5,2.0965
-3144.5,1.8222
-3139.5,1.933
-3134.5,2.1955
-3129.5,2.3307
-3124.5,2.4101
-3119.5,2.4866
-3114.5,2.4645
-3109.5,2.3934
-3104.5,2.308
-3099.5,1.9797
-3094.5,1.6491
-3089.5,1.8622
-3084.5,1.9654
-3079.5,1.7399
-3074.5,1.3156
-3069.5,1.588
-3064.5,1.9243
-3059.5,2.0006
-3054.5,1.9602
-3049.5,1.9645
-3044.5,1.9463
-3039.5,1.9066
-3034.5,1.9604
-3029.5,1.9812
-3024.5,1.813
-3019.5,0.9799
-3014.5,0.4628
-3009.5,0.27039
-3004.5,0.10096
-2999.5,0.05714
-2994.5,0.05305
-2989.5,0.06561
-2984.5,0.10803
-2979.5,0.19949
-2974.5,0.29463
-2969.5,0.27039
-2964.5,0.24497
-2959.5,0.22178
-2954.5,0.15754
-2949.5,0.24497
-2944.5,0.27315
-2939.5,0.22136
-2934.5,0.1793
-2929.5,0.11387
-2924.5,0.03487
-2919.5,0.0027809
-2914.5,0.00006134
-2909.5,0.000002556
-2904.5,0
-2899.5,0
-2894.5,0
