Date,SPDF
-20519.5,0
-20518.5,0.0000015629
-20517.5,0.0000015629
-20516.5,0.0000015629
-20515.5,0.0000015629
-20514.5,0.0000015629
-20513.5,0.0000015629
-20512.5,0.0000015629
-20511.5,0.0000015629
-20510.5,0.0000031258
-20509.5,0.0000031258
-20508.5,0.0000031258
-20507.5,0.0000031258
-20506.5,0.0000031258
-20505.5,0.0000031258
-20504.5,0.0000031258
-20503.5,0.0000031258
-20502.5,0.000004689
-20501.5,0.000004689
-20500.5,0.000004689
-20499.5,0.000004689
-20498.5,0.000004689
-20497.5,0.000006252
-20496.5,0.000006252
-20495.5,0.000006252
-20494.5,0.000006252
-20493.5,0.000006252
-20492.5,0.000007814
-20491.5,0.000007814
-20490.5,0.000007814
-20489.5,0.000009377
-20488.5,0.000009377
-20487.5,0.000009377
-20486.5,0.00001094
-20485.5,0.00001094
-20484.5,0.000012503
-20483.5,0.000012503
-20482.5,0.000014066
-20481.5,0.000014066
-20480.5,0.000015629
-20479.5,0.000015629
-20478.5,0.000017192
-20477.5,0.000018755
-20476.5,0.000018755
-20475.5,0.000020318
-20474.5,0.00002188
-20473.5,0.00002188
-20472.5,0.000023443
-20471.5,0.000025006
-20470.5,0.000026569
-20469.5,0.000026569
-20468.5,0.000028132
-20467.5,0.000029695
-20466.5,0.000031258
-20465.5,0.00003282
-20464.5,0.00003438
-20463.5,0.00003751
-20462.5,0.00003907
-20461.5,0.00004064
-20460.5,0.0000422
-20459.5,0.00004532
-20458.5,0.00004689
-20457.5,0.00005001
-20456.5,0.00005314
-20455.5,0.0000547
-20454.5,0.00005783
-20453.5,0.00006095
-20452.5,0.00006408
-20451.5,0.0000672
-20450.5,0.00007033
-20449.5,0.00007346
-20448.5,0.00007658
-20447.5,0.00007971
-20446.5,0.0000844
-20445.5,0.00008752
-20444.5,0.00009065
-20443.5,0.00009534
-20442.5,0.00009846
-20441.5,0.00010315
-20440.5,0.00010784
-20439.5,0.00011253
-20438.5,0.00011722
-20437.5,0.00012191
-20436.5,0.00012659
-20435.5,0.00013128
-20434.5,0.00013753
-20433.5,0.00014222
-20432.5,0.00014847
-20431.5,0.00015316
-20430.5,0.00015941
-20429.5,0.0001641
-20428.5,0.00017035
-20427.5,0.00017504
-20426.5,0.00017973
-20425.5,0.00018598
-20424.5,0.00019067
-20423.5,0.00019536
-20422.5,0.00020161
-20421.5,0.0002063
-20420.5,0.00021099
-20419.5,0.00021724
-20418.5,0.00022193
-20417.5,0.00022818
-20416.5,0.00023287
-20415.5,0.00023756
